model_name,tier,params,item_id,sector,difficulty,seed,d1_accuracy,d2_depth,d3_tone,d4_completeness,composite_raw,composite_pct,latency_ms,judge_rationale
Qwen2.5-7B,SLM,7B,UC8_042,Healthcare,easy,42,3,3,3,3,3.00,50.0,13126,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Qwen2.5-7B,SLM,7B,UC8_048,Healthcare,medium,42,3,3,3,3,3.00,50.0,13830,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Qwen2.5-7B,SLM,7B,UC8_049,Healthcare,medium,42,3,3,3,3,3.00,50.0,12417,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Qwen2.5-7B,SLM,7B,UC8_055,Healthcare,hard,42,3,3,3,3,3.00,50.0,16116,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Qwen2.5-7B,SLM,7B,UC8_056,Healthcare,hard,42,3,3,3,3,3.00,50.0,13855,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Qwen2.5-7B,SLM,7B,UC8_061,Manufacturing,easy,42,3,3,3,3,3.00,50.0,12669,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Qwen2.5-7B,SLM,7B,UC8_062,Manufacturing,easy,42,3,3,3,3,3.00,50.0,11796,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Qwen2.5-7B,SLM,7B,UC8_068,Manufacturing,medium,42,3,3,3,3,3.00,50.0,13352,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Qwen2.5-7B,SLM,7B,UC8_069,Manufacturing,medium,42,3,3,3,3,3.00,50.0,12856,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Qwen2.5-7B,SLM,7B,UC8_075,Manufacturing,hard,42,3,3,3,3,3.00,50.0,15040,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Qwen2.5-7B,SLM,7B,UC8_076,Manufacturing,hard,42,3,3,3,3,3.00,50.0,15296,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Qwen2.5-7B,SLM,7B,UC8_081,Financial,easy,42,3,3,3,3,3.00,50.0,15168,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Qwen2.5-7B,SLM,7B,UC8_082,Financial,easy,42,3,3,3,3,3.00,50.0,12401,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Qwen2.5-7B,SLM,7B,UC8_088,Financial,medium,42,3,3,3,3,3.00,50.0,12708,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Qwen2.5-7B,SLM,7B,UC8_089,Financial,medium,42,3,3,3,3,3.00,50.0,12953,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Qwen2.5-7B,SLM,7B,UC8_095,Financial,hard,42,3,3,3,3,3.00,50.0,16332,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Qwen2.5-7B,SLM,7B,UC8_096,Financial,hard,42,3,3,3,3,3.00,50.0,14925,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Mistral-7B,SLM,7B,UC8_001,Technology,easy,42,3,3,3,3,3.00,50.0,19376,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Mistral-7B,SLM,7B,UC8_002,Technology,easy,42,3,3,3,3,3.00,50.0,13406,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Mistral-7B,SLM,7B,UC8_008,Technology,medium,42,3,3,3,3,3.00,50.0,18256,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Mistral-7B,SLM,7B,UC8_009,Technology,medium,42,3,3,3,3,3.00,50.0,17843,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Mistral-7B,SLM,7B,UC8_015,Technology,hard,42,3,3,3,3,3.00,50.0,18436,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Mistral-7B,SLM,7B,UC8_016,Technology,hard,42,3,3,3,3,3.00,50.0,18330,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Mistral-7B,SLM,7B,UC8_021,Retail,easy,42,3,3,3,3,3.00,50.0,15437,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Mistral-7B,SLM,7B,UC8_022,Retail,easy,42,3,3,3,3,3.00,50.0,14741,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Mistral-7B,SLM,7B,UC8_028,Retail,medium,42,3,3,3,3,3.00,50.0,17973,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Mistral-7B,SLM,7B,UC8_029,Retail,medium,42,3,3,3,3,3.00,50.0,17292,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Mistral-7B,SLM,7B,UC8_035,Retail,hard,42,3,3,3,3,3.00,50.0,16510,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Mistral-7B,SLM,7B,UC8_036,Retail,hard,42,3,3,3,3,3.00,50.0,16947,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Mistral-7B,SLM,7B,UC8_041,Healthcare,easy,42,3,3,3,3,3.00,50.0,13280,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Mistral-7B,SLM,7B,UC8_042,Healthcare,easy,42,3,3,3,3,3.00,50.0,17548,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Mistral-7B,SLM,7B,UC8_048,Healthcare,medium,42,3,3,3,3,3.00,50.0,17616,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Mistral-7B,SLM,7B,UC8_049,Healthcare,medium,42,3,3,3,3,3.00,50.0,18106,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Mistral-7B,SLM,7B,UC8_055,Healthcare,hard,42,3,3,3,3,3.00,50.0,20275,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Mistral-7B,SLM,7B,UC8_056,Healthcare,hard,42,3,3,3,3,3.00,50.0,16314,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Mistral-7B,SLM,7B,UC8_061,Manufacturing,easy,42,3,3,3,3,3.00,50.0,16774,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Mistral-7B,SLM,7B,UC8_062,Manufacturing,easy,42,3,3,3,3,3.00,50.0,14852,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Mistral-7B,SLM,7B,UC8_068,Manufacturing,medium,42,3,3,3,3,3.00,50.0,17348,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Mistral-7B,SLM,7B,UC8_069,Manufacturing,medium,42,3,3,3,3,3.00,50.0,15078,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Mistral-7B,SLM,7B,UC8_075,Manufacturing,hard,42,3,3,3,3,3.00,50.0,16163,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Mistral-7B,SLM,7B,UC8_076,Manufacturing,hard,42,3,3,3,3,3.00,50.0,13649,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Mistral-7B,SLM,7B,UC8_081,Financial,easy,42,3,3,3,3,3.00,50.0,20381,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Mistral-7B,SLM,7B,UC8_082,Financial,easy,42,3,3,3,3,3.00,50.0,13688,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Mistral-7B,SLM,7B,UC8_088,Financial,medium,42,3,3,3,3,3.00,50.0,18414,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Mistral-7B,SLM,7B,UC8_089,Financial,medium,42,3,3,3,3,3.00,50.0,15758,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Mistral-7B,SLM,7B,UC8_095,Financial,hard,42,3,3,3,3,3.00,50.0,20919,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Mistral-7B,SLM,7B,UC8_096,Financial,hard,42,3,3,3,3,3.00,50.0,18670,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Llama-3.1-8B,SLM,8B,UC8_001,Technology,easy,42,3,3,3,3,3.00,50.0,22178,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Llama-3.1-8B,SLM,8B,UC8_002,Technology,easy,42,3,3,3,3,3.00,50.0,19186,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Llama-3.1-8B,SLM,8B,UC8_008,Technology,medium,42,3,3,3,3,3.00,50.0,21939,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Llama-3.1-8B,SLM,8B,UC8_009,Technology,medium,42,3,3,3,3,3.00,50.0,21621,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Llama-3.1-8B,SLM,8B,UC8_015,Technology,hard,42,3,3,3,3,3.00,50.0,19398,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Llama-3.1-8B,SLM,8B,UC8_016,Technology,hard,42,3,3,3,3,3.00,50.0,21305,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Llama-3.1-8B,SLM,8B,UC8_021,Retail,easy,42,3,3,3,3,3.00,50.0,17911,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Llama-3.1-8B,SLM,8B,UC8_022,Retail,easy,42,3,3,3,3,3.00,50.0,16074,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Llama-3.1-8B,SLM,8B,UC8_028,Retail,medium,42,3,3,3,3,3.00,50.0,19983,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Llama-3.1-8B,SLM,8B,UC8_029,Retail,medium,42,3,3,3,3,3.00,50.0,17914,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Llama-3.1-8B,SLM,8B,UC8_035,Retail,hard,42,3,3,3,3,3.00,50.0,19166,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Llama-3.1-8B,SLM,8B,UC8_036,Retail,hard,42,3,3,3,3,3.00,50.0,21243,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Llama-3.1-8B,SLM,8B,UC8_041,Healthcare,easy,42,3,3,3,3,3.00,50.0,18116,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Llama-3.1-8B,SLM,8B,UC8_042,Healthcare,easy,42,3,3,3,3,3.00,50.0,18862,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Llama-3.1-8B,SLM,8B,UC8_048,Healthcare,medium,42,3,3,3,3,3.00,50.0,209832,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Llama-3.1-8B,SLM,8B,UC8_049,Healthcare,medium,42,3,3,3,3,3.00,50.0,18101,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Llama-3.1-8B,SLM,8B,UC8_055,Healthcare,hard,42,3,3,3,3,3.00,50.0,21172,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Llama-3.1-8B,SLM,8B,UC8_056,Healthcare,hard,42,3,3,3,3,3.00,50.0,21889,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Llama-3.1-8B,SLM,8B,UC8_061,Manufacturing,easy,42,3,3,3,3,3.00,50.0,19864,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Llama-3.1-8B,SLM,8B,UC8_062,Manufacturing,easy,42,3,3,3,3,3.00,50.0,19607,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Llama-3.1-8B,SLM,8B,UC8_068,Manufacturing,medium,42,3,3,3,3,3.00,50.0,23321,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Llama-3.1-8B,SLM,8B,UC8_069,Manufacturing,medium,42,3,3,3,3,3.00,50.0,18669,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Llama-3.1-8B,SLM,8B,UC8_075,Manufacturing,hard,42,3,3,3,3,3.00,50.0,23072,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Llama-3.1-8B,SLM,8B,UC8_076,Manufacturing,hard,42,3,3,3,3,3.00,50.0,21086,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Llama-3.1-8B,SLM,8B,UC8_081,Financial,easy,42,3,3,3,3,3.00,50.0,20392,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Llama-3.1-8B,SLM,8B,UC8_082,Financial,easy,42,3,3,3,3,3.00,50.0,19484,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Llama-3.1-8B,SLM,8B,UC8_088,Financial,medium,42,3,3,3,3,3.00,50.0,20479,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Llama-3.1-8B,SLM,8B,UC8_089,Financial,medium,42,3,3,3,3,3.00,50.0,20312,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Llama-3.1-8B,SLM,8B,UC8_095,Financial,hard,42,3,3,3,3,3.00,50.0,25830,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
Llama-3.1-8B,SLM,8B,UC8_096,Financial,hard,42,3,3,3,3,3.00,50.0,22738,JUDGE_ERROR: 429 Client Error: Too Many Requests for url: https://api.groq.com/openai/v1/chat/completions
